year,use,dwellings,area_m2
2004,1_residential,11,1767.0
1977,1_residential,3,512.0
1965,1_residential,20,1556.0
1984,1_residential,12,1616.0
2011,1_residential,44,6764.0
1940,3_industrial,0,1138.0
1988,1_residential,63,9556.0
1988,1_residential,43,8249.0
1986,1_residential,43,7929.0
1975,1_residential,63,11416.0
1989,1_residential,10,2313.0
1974,1_residential,13,1166.0
1964,1_residential,3,288.0
1963,1_residential,1,270.0
1966,1_residential,5,494.0
1992,1_residential,7,1006.0
2007,1_residential,4,480.0
1980,1_residential,4,557.0
2003,1_residential,8,1285.0
1965,1_residential,7,659.0
2004,1_residential,1,406.0
1960,1_residential,10,1204.0
1940,1_residential,2,142.0
1935,1_residential,1,73.0
1969,1_residential,8,782.0
1964,1_residential,3,420.0
2001,1_residential,1,330.0
1972,1_residential,3,326.0
1960,1_residential,10,882.0
1971,1_residential,10,1118.0
2000,1_residential,11,2182.0
2001,1_residential,1,341.0
1940,1_residential,1,65.0
1960,1_residential,1,92.0
1965,1_residential,2,437.0
1964,1_residential,1,159.0
1967,1_residential,8,824.0
1965,1_residential,10,849.0
1980,1_residential,8,954.0
1966,1_residential,4,467.0
1975,1_residential,5,491.0
1964,1_residential,9,660.0
1969,1_residential,5,743.0
2006,1_residential,1,288.0
1945,1_residential,1,225.0
1983,1_residential,1,266.0
1930,1_residential,1,52.0
2002,1_residential,9,1288.0
1967,1_residential,12,1016.0
1974,1_residential,20,2318.0
1966,1_residential,12,1231.0
1989,1_residential,4,659.0
1954,1_residential,4,521.0
1982,1_residential,8,1485.0
1940,1_residential,2,366.0
1984,1_residential,8,1210.0
2003,1_residential,9,1021.0
1955,1_residential,2,440.0
1948,1_residential,3,279.0
1966,1_residential,4,554.0
1968,1_residential,12,1668.0
1960,1_residential,4,452.0
1966,1_residential,24,2743.0
1977,1_residential,33,6391.0
1970,1_residential,10,951.0
1985,1_residential,3,508.0
1940,1_residential,4,340.0
1982,1_residential,2,407.0
1950,1_residential,1,109.0
1945,1_residential,1,65.0
1940,1_residential,1,66.0
1950,1_residential,4,404.0
1964,1_residential,16,2444.0
1968,1_residential,4,641.0
1949,1_residential,3,260.0
1950,1_residential,3,332.0
1980,1_residential,8,1594.0
1947,1_residential,2,242.0
2006,1_residential,17,2159.0
2009,1_residential,7,1167.0
1969,1_residential,10,914.0
1965,1_residential,20,1800.0
1978,1_residential,4,632.0
2001,1_residential,5,700.0
1968,1_residential,15,1640.0
1991,1_residential,4,614.0
1955,1_residential,3,311.0
2004,1_residential,4,478.0
1965,1_residential,3,476.0
2009,1_residential,4,555.0
1972,4_2_retail,0,567.0
2002,1_residential,8,1150.0
2007,1_residential,26,5571.0
1967,1_residential,4,524.0
1970,1_residential,4,480.0
2006,1_residential,4,362.0
1965,1_residential,3,285.0
1928,1_residential,1,155.0
1966,1_residential,4,454.0
2005,1_residential,8,1102.0
1980,1_residential,19,2478.0
1955,1_residential,1,143.0
1989,1_residential,4,590.0
1965,1_residential,12,1257.0
1960,1_residential,6,1304.0
2010,1_residential,10,1550.0
2007,4_2_retail,0,1531.0
1981,1_residential,26,4263.0
1980,1_residential,6,1474.0
1993,4_1_office,0,1986.0
1994,1_residential,4,560.0
1970,1_residential,10,891.0
1990,1_residential,5,767.0
1975,1_residential,8,647.0
1978,1_residential,9,1728.0
1972,1_residential,20,1987.0
1971,1_residential,18,1643.0
1975,1_residential,39,5730.0
1973,1_residential,23,4572.0
1978,1_residential,17,3197.0
1984,1_residential,16,2904.0
1975,1_residential,23,2256.0
2006,1_residential,20,4107.0
1973,1_residential,13,965.0
1965,1_residential,6,482.0
1965,1_residential,8,894.0
1955,1_residential,1,213.0
1940,1_residential,2,95.0
1965,1_residential,2,312.0
1960,1_residential,4,613.0
1975,4_1_office,0,3451.0
1993,1_residential,6,669.0
1971,1_residential,61,9092.0
1977,3_industrial,0,4194.0
1973,1_residential,2,309.0
1945,1_residential,2,136.0
1977,1_residential,3,279.0
1971,1_residential,5,388.0
1972,1_residential,8,1047.0
,,0,0.0
2004,1_residential,4,456.0
2005,1_residential,10,571.0
1967,1_residential,75,12656.0
1965,1_residential,18,1786.0
1975,1_residential,7,1131.0
1932,1_residential,1,951.0
1966,1_residential,18,3706.0
1984,1_residential,7,1332.0
2003,4_1_office,0,935.0
1975,1_residential,14,2244.0
1959,1_residential,3,483.0
1967,1_residential,9,1322.0
1958,1_residential,2,364.0
1959,1_residential,6,642.0
1966,1_residential,39,4526.0
1965,1_residential,8,970.0
1944,1_residential,1,285.0
1970,1_residential,20,1990.0
1979,1_residential,8,1621.0
1964,1_residential,9,1318.0
1965,1_residential,3,380.0
1960,1_residential,5,547.0
1967,1_residential,4,427.0
1959,1_residential,3,178.0
1970,1_residential,10,839.0
1950,1_residential,2,209.0
1978,1_residential,3,549.0
1980,1_residential,8,1093.0
2006,1_residential,10,1216.0
2019,1_residential,9,1035.0
1983,1_residential,25,3835.0
1984,4_3_publicServices,0,2290.0
2007,1_residential,42,6824.0
1962,1_residential,8,762.0
1974,1_residential,6,1085.0
1976,1_residential,8,1668.0
1935,1_residential,1,550.0
1977,1_residential,4,687.0
1974,1_residential,12,1730.0
1977,1_residential,73,11143.0
1993,1_residential,23,3283.0
2009,1_residential,14,1771.0
2007,1_residential,10,2168.0
1975,1_residential,19,3598.0
1966,1_residential,39,5006.0
1989,1_residential,20,9476.0
1960,1_residential,49,6346.0
1962,1_residential,6,1386.0
1952,1_residential,1,1660.0
1960,4_2_retail,6,3854.0
1994,1_residential,15,1862.0
1952,1_residential,14,1110.0
1953,1_residential,12,1439.0
1950,1_residential,14,1015.0
1950,1_residential,12,1148.0
1951,1_residential,14,1206.0
1960,1_residential,8,1298.0
2007,1_residential,14,2367.0
1976,1_residential,14,2224.0
1999,1_residential,14,2504.0
1961,1_residential,1,1491.0
1968,1_residential,19,2663.0
2004,1_residential,3,461.0
2000,1_residential,5,781.0
2004,1_residential,3,756.0
1992,1_residential,3,608.0
2004,1_residential,12,1936.0
1993,1_residential,1,232.0
1999,1_residential,20,2798.0
2001,1_residential,16,3172.0
2002,1_residential,16,2442.0
2010,1_residential,0,433.0
1977,1_residential,20,2513.0
1977,1_residential,20,2512.0
1981,1_residential,32,4799.0
1978,1_residential,55,8021.0
1979,1_residential,47,6306.0
1975,1_residential,12,1443.0
1976,1_residential,6,1051.0
1977,1_residential,6,734.0
1990,1_residential,6,1424.0
1987,1_residential,1,4526.0
1985,1_residential,11,1527.0
1960,1_residential,4,359.0
2003,1_residential,1,253.0
1955,1_residential,1,207.0
1945,1_residential,0,114.0
1970,1_residential,1,193.0
1970,1_residential,1,184.0
2006,1_residential,4,725.0
1986,1_residential,4,212.0
1998,1_residential,14,1792.0
2004,1_residential,14,1760.0
1992,1_residential,12,1851.0
2006,1_residential,13,1855.0
1955,1_residential,2,224.0
1994,1_residential,5,824.0
1925,1_residential,1,86.0
1925,1_residential,1,93.0
1991,1_residential,8,1686.0
1993,1_residential,9,1612.0
1955,1_residential,1,210.0
1955,1_residential,1,208.0
2000,1_residential,11,1562.0
2001,1_residential,9,1076.0
2002,1_residential,12,1657.0
2005,1_residential,10,1664.0
2004,1_residential,8,1255.0
1997,1_residential,25,2874.0
2001,1_residential,1,331.0
1991,1_residential,18,3242.0
1991,1_residential,12,2481.0
1990,1_residential,11,2214.0
2004,1_residential,1,389.0
1993,1_residential,9,2268.0
2002,1_residential,4,431.0
1995,1_residential,23,2781.0
1997,1_residential,15,2290.0
1999,1_residential,8,1373.0
2000,1_residential,27,2992.0
2002,1_residential,6,2091.0
2004,1_residential,8,1443.0
1984,4_3_publicServices,0,4538.0
1982,1_residential,188,18745.0
1994,1_residential,22,4564.0
1987,1_residential,1,6372.0
1980,4_3_publicServices,0,3168.0
1992,1_residential,26,5958.0
1991,1_residential,15,4756.0
1986,1_residential,8,1463.0
1994,1_residential,12,1645.0
2000,1_residential,10,1489.0
1965,1_residential,12,732.0
2007,1_residential,4,510.0
1955,1_residential,1,236.0
1996,1_residential,9,1548.0
1988,1_residential,16,2691.0
1995,1_residential,14,2591.0
1992,4_2_retail,0,1968.0
2001,1_residential,6,1660.0
1989,1_residential,6,734.0
1950,1_residential,3,316.0
1994,1_residential,4,389.0
1950,1_residential,4,372.0
1963,1_residential,3,448.0
2006,1_residential,5,485.0
1930,1_residential,1,172.0
1970,1_residential,1,452.0
1950,1_residential,1,72.0
1999,1_residential,5,707.0
1942,3_industrial,0,103.0
1977,1_residential,9,759.0
1925,1_residential,1,237.0
1940,1_residential,1,107.0
1972,1_residential,10,1128.0
1972,1_residential,10,1128.0
1965,1_residential,3,342.0
1979,1_residential,4,573.0
2003,1_residential,9,1240.0
2004,1_residential,11,1767.0
2011,1_residential,44,6764.0
1983,1_residential,16,2620.0
1979,1_residential,23,2810.0
1977,1_residential,4,833.0
1981,1_residential,4,901.0
1970,1_residential,23,2413.0
1976,1_residential,54,8221.0
1986,1_residential,14,2416.0
1954,1_residential,3,534.0
1978,1_residential,3,649.0
1954,1_residential,1,354.0
2005,1_residential,8,1623.0
1983,4_2_retail,0,1099.0
1970,1_residential,48,4496.0
1969,1_residential,30,2378.0
1983,1_residential,153,15367.0
1960,3_industrial,0,32.0
1980,1_residential,61,8364.0
1982,4_3_publicServices,0,3936.0
2012,1_residential,105,17366.0
1969,1_residential,10,790.0
1945,1_residential,1,212.0
1967,1_residential,4,524.0
1928,1_residential,1,155.0
1990,1_residential,8,1604.0
2000,1_residential,18,2317.0
2008,1_residential,19,2744.0
